遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,112000082,2023/04/06,1819550,36391,297300,01,06,11,13,14,15,16,18,19,20,21,24
雙贏彩,112000083,2023/04/07,1808150,36163,277400,03,05,07,10,11,12,13,15,16,17,18,20
雙贏彩,112000084,2023/04/08,2191250,43825,621500,01,03,04,06,07,13,16,19,21,22,23,24
雙贏彩,112000085,2023/04/10,2002700,40054,1061900,04,12,13,14,16,17,18,19,20,22,23,24
雙贏彩,112000086,2023/04/11,1808450,36169,464500,02,06,07,08,10,11,12,14,17,19,20,21
雙贏彩,112000087,2023/04/12,2195100,43902,395600,03,04,09,10,11,13,14,15,17,18,22,23
雙贏彩,112000088,2023/04/13,1820000,36400,872100,01,02,06,09,10,11,15,17,19,20,21,23
雙贏彩,112000089,2023/04/14,1829800,36596,271300,01,02,04,06,07,11,14,15,16,18,19,23
雙贏彩,112000090,2023/04/15,2148500,42970,604200,01,02,03,06,08,09,13,14,15,18,20,23
雙贏彩,112000091,2023/04/17,1952050,39041,598900,03,04,07,08,11,12,13,15,16,22,23,24
雙贏彩,112000092,2023/04/18,1788650,35773,690500,01,03,07,08,09,10,13,14,16,18,19,21
雙贏彩,112000093,2023/04/19,2065700,41314,1124300,01,03,07,08,10,11,13,15,16,17,18,19
雙贏彩,112000094,2023/04/20,1808050,36161,475200,03,07,08,09,10,11,14,15,17,20,21,23
雙贏彩,112000095,2023/04/21,1843850,36877,276500,01,03,04,05,08,11,12,14,19,20,21,24
雙贏彩,112000096,2023/04/22,2154950,43099,711000,01,04,05,06,09,10,11,13,14,19,20,23
雙贏彩,112000097,2023/04/24,2016350,40327,484000,02,03,04,05,08,10,11,13,16,18,21,23
雙贏彩,112000098,2023/04/25,1743650,34873,564200,01,04,07,09,12,14,15,18,19,21,23,24
雙贏彩,112000099,2023/04/26,2139400,42788,996800,05,06,10,11,12,13,14,16,17,20,23,24
雙贏彩,112000100,2023/04/27,1778800,35576,903200,02,03,06,08,10,11,13,14,17,19,21,22
雙贏彩,112000101,2023/04/28,1785850,35717,273900,02,05,07,08,09,12,14,15,18,21,23,24
雙贏彩,112000102,2023/04/29,2102800,42056,393700,01,03,04,05,06,10,12,13,14,15,19,22
雙贏彩,112000103,2023/05/01,1883050,37661,687600,02,04,05,07,09,10,11,13,15,17,18,22
雙贏彩,112000104,2023/05/02,1738400,34768,565900,02,03,04,07,08,09,10,13,20,21,22,24
雙贏彩,112000105,2023/05/03,2094000,41880,393900,03,05,08,09,10,14,15,18,20,22,23,24
雙贏彩,112000106,2023/05/04,1766450,35329,583400,01,03,05,08,13,14,15,18,19,20,21,24
雙贏彩,112000107,2023/05/05,1773700,35474,258600,07,08,09,10,12,13,14,15,17,20,21,24
雙贏彩,112000108,2023/05/06,2070800,41416,808900,02,03,06,07,08,09,12,13,14,18,23,24
雙贏彩,112000109,2023/05/08,1853250,37065,588500,01,02,06,09,10,11,12,13,20,22,23,24
雙贏彩,112000110,2023/05/09,1745550,34911,583000,02,04,07,08,11,13,14,15,16,17,18,20
雙贏彩,112000111,2023/05/10,2130850,42617,400300,06,08,10,11,15,16,18,19,21,22,23,24
雙贏彩,112000112,2023/05/11,1753100,35062,1279000,02,04,05,06,07,08,13,14,18,19,20,23
雙贏彩,112000113,2023/05/12,1773700,35474,179400,02,04,07,09,10,14,16,17,21,22,23,24
雙贏彩,112000114,2023/05/13,2098850,41977,399700,01,07,08,10,11,14,15,16,17,19,23,24
雙贏彩,112000115,2023/05/15,1913750,38275,1347900,03,05,07,09,11,13,15,19,20,21,22,23
雙贏彩,112000116,2023/05/16,1770750,35415,372000,01,04,08,09,10,12,14,15,19,20,21,23
雙贏彩,112000117,2023/05/17,2132700,42654,703100,01,05,07,09,10,13,15,16,17,19,23,24
雙贏彩,112000118,2023/05/18,1755050,35101,298800,02,06,08,10,12,13,14,16,18,19,21,23
雙贏彩,112000119,2023/05/19,1692400,33848,471100,01,03,04,06,09,10,12,13,15,18,22,23
雙贏彩,112000120,2023/05/20,2081000,41620,1162900,02,03,05,06,07,08,09,10,11,12,21,22
雙贏彩,112000121,2023/05/22,1857150,37143,376100,02,03,06,08,11,12,13,14,15,16,19,23
雙贏彩,112000122,2023/05/23,1695650,33913,655000,05,06,09,12,15,17,18,19,20,21,22,24
雙贏彩,112000123,2023/05/24,2067450,41349,709100,05,07,09,10,11,12,15,16,17,18,22,23
雙贏彩,112000124,2023/05/25,1742100,34842,1167000,01,02,07,09,10,13,14,16,17,21,23,24
雙贏彩,112000125,2023/05/26,1712850,34257,579700,01,03,04,06,08,12,13,17,20,21,22,24
雙贏彩,112000126,2023/05/27,2039750,40795,625000,02,03,05,06,08,09,12,13,16,17,20,22
雙贏彩,112000127,2023/05/29,1819350,36387,394400,02,05,07,11,13,14,15,16,18,19,22,24
雙贏彩,112000128,2023/05/30,1651600,33032,252000,02,03,04,06,07,09,10,12,13,15,16,24
雙贏彩,112000129,2023/05/31,1979300,39586,388500,02,05,10,12,14,15,16,17,19,20,21,22
雙贏彩,112000130,2023/06/01,1711950,34239,486300,03,05,07,09,10,12,14,15,17,19,20,23
雙贏彩,112000131,2023/06/02,1704200,34084,464900,01,06,07,08,11,12,14,15,18,19,21,24
雙贏彩,112000132,2023/06/03,1958850,39177,573700,01,05,07,11,12,13,14,15,16,20,22,23
雙贏彩,112000133,2023/06/05,1806800,36136,690700,02,03,06,08,12,14,15,17,19,20,21,23
雙贏彩,112000134,2023/06/06,1643900,32878,346600,02,09,10,11,12,13,16,17,19,21,22,24
雙贏彩,112000135,2023/06/07,1945600,38912,277700,01,02,03,04,07,08,09,11,14,19,21,23
雙贏彩,112000136,2023/06/08,1672750,33455,662900,02,03,04,05,07,08,10,12,17,19,22,24
雙贏彩,112000137,2023/06/09,1647950,32959,359800,04,05,08,09,10,12,13,16,19,20,22,23
雙贏彩,112000138,2023/06/10,1912750,38255,487400,01,08,09,12,15,17,18,20,21,22,23,24
雙贏彩,112000139,2023/06/12,1745900,34918,261700,01,02,03,04,06,07,09,12,15,16,23,24
雙贏彩,112000140,2023/06/13,1583250,31665,674900,02,03,04,06,07,09,10,16,21,22,23,24
雙贏彩,112000141,2023/06/14,1932500,38650,791600,02,03,04,06,10,12,13,18,19,20,23,24
雙贏彩,112000142,2023/06/15,1632050,32641,477100,02,04,08,09,13,15,18,19,20,21,22,24
雙贏彩,112000143,2023/06/16,1605800,32116,356000,01,03,08,09,11,12,14,18,19,21,22,23
雙贏彩,112000144,2023/06/17,2076600,41532,490500,01,02,04,05,08,09,11,13,16,20,21,24
雙贏彩,112000145,2023/06/19,1775400,35508,471200,03,04,06,07,09,11,16,17,19,22,23,24
雙贏彩,112000146,2023/06/20,1589350,31787,546800,01,02,03,04,05,06,07,10,14,18,19,23
