遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,110000107,2021/05/05,2838300,56766,876100,01,02,03,04,07,10,11,14,15,16,19,22
雙贏彩,110000108,2021/05/06,2328950,46579,542900,03,04,05,06,13,17,18,19,20,21,22,23
雙贏彩,110000109,2021/05/07,2280050,45601,727800,01,02,04,06,07,10,12,18,19,21,22,23
雙贏彩,110000110,2021/05/08,2756300,55126,773000,03,06,07,08,09,11,15,16,18,19,22,23
雙贏彩,110000111,2021/05/10,2468250,49365,826900,05,07,09,11,12,15,16,17,18,20,21,22
雙贏彩,110000112,2021/05/11,2205450,44109,15287800,03,04,05,07,08,10,13,14,19,21,22,24
雙贏彩,110000113,2021/05/12,2741950,54839,1103900,02,04,06,08,09,13,17,19,20,21,23,24
雙贏彩,110000114,2021/05/13,2148300,42966,416700,01,03,05,07,08,09,10,11,13,15,18,24
雙贏彩,110000115,2021/05/14,2206100,44122,644500,03,04,06,10,12,14,15,16,19,21,22,23
雙贏彩,110000116,2021/05/15,2606350,52127,639700,01,04,07,08,10,11,12,15,17,18,19,21
雙贏彩,110000117,2021/05/17,2146350,42927,885600,01,02,03,04,06,07,11,12,14,16,20,21
雙贏彩,110000118,2021/05/18,1969900,39398,630500,04,08,10,12,14,17,18,19,20,22,23,24
雙贏彩,110000119,2021/05/19,2339000,46780,636000,02,04,05,08,10,12,13,16,18,21,22,23
雙贏彩,110000120,2021/05/20,1939300,38786,787700,03,08,09,10,11,12,14,18,19,21,23,24
雙贏彩,110000121,2021/05/21,1922400,38448,380600,01,02,05,06,07,11,12,13,16,18,21,23
雙贏彩,110000122,2021/05/22,2286000,45720,449100,01,02,05,07,09,11,12,13,14,16,21,24
雙贏彩,110000123,2021/05/24,1953550,39071,853300,02,04,06,08,10,11,12,13,15,16,17,22
雙贏彩,110000124,2021/05/25,1884100,37682,785400,01,02,03,09,10,12,14,16,18,21,22,24
雙贏彩,110000125,2021/05/26,2277850,45557,826100,02,04,09,10,11,14,16,18,19,20,21,22
雙贏彩,110000126,2021/05/27,1833800,36676,540300,01,02,03,05,07,09,11,13,16,18,21,23
雙贏彩,110000127,2021/05/28,1875300,37506,572600,01,03,05,06,09,10,15,17,21,22,23,24
雙贏彩,110000128,2021/05/29,2221800,44436,604600,02,04,05,10,11,16,17,18,20,21,23,24
雙贏彩,110000129,2021/05/31,1824550,36491,376600,03,04,05,06,07,10,11,12,13,15,19,21
雙贏彩,110000130,2021/06/01,1817100,36342,470000,02,04,06,07,08,09,14,17,20,21,22,24
雙贏彩,110000131,2021/06/02,2270700,45414,435000,01,02,06,10,11,15,16,18,20,22,23,24
雙贏彩,110000132,2021/06/03,1854200,37084,419900,01,03,05,07,08,13,14,15,16,19,20,21
雙贏彩,110000133,2021/06/04,1876600,37532,608900,03,04,05,07,10,13,15,16,19,20,21,22
雙贏彩,110000134,2021/06/05,2146550,42931,507900,01,06,07,11,13,14,15,19,21,22,23,24
雙贏彩,110000135,2021/06/07,2021250,40425,1345600,02,04,05,06,10,11,13,14,16,18,20,24
雙贏彩,110000136,2021/06/08,1905000,38100,569500,03,04,05,07,10,15,16,17,21,22,23,24
雙贏彩,110000137,2021/06/09,2309800,46196,447100,05,06,07,08,09,10,11,12,14,16,18,23
雙贏彩,110000138,2021/06/10,1966550,39331,478700,03,07,09,10,13,16,17,20,21,22,23,24
雙贏彩,110000139,2021/06/11,2014000,40280,579400,01,02,03,04,06,07,10,14,19,20,23,24
雙贏彩,110000140,2021/06/12,2356100,47122,782400,03,04,05,10,11,15,16,18,20,21,22,24
雙贏彩,110000141,2021/06/14,2012000,40240,491800,01,09,10,11,13,14,17,19,20,21,23,24
