遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4
4星彩,113000125,2024/05/24,5043800,201752,2840000,1,2,8,5
4星彩,113000126,2024/05/25,5003250,200130,2040500,3,4,6,1
4星彩,113000127,2024/05/27,5285850,211434,3188000,2,9,1,3
4星彩,113000128,2024/05/28,4710300,188412,3528500,8,5,8,1
4星彩,113000129,2024/05/29,4983425,199337,6225500,8,3,6,7
4星彩,113000130,2024/05/30,5084475,203379,3577500,4,7,2,4
4星彩,113000131,2024/05/31,5192650,207706,2985000,4,5,4,6
4星彩,113000132,2024/06/01,5162225,206489,7151500,8,2,5,8
4星彩,113000133,2024/06/03,5675350,227014,9530500,2,6,2,1
4星彩,113000134,2024/06/04,5221175,208847,4424500,5,9,4,0
4星彩,113000135,2024/06/05,5215900,208636,4955000,9,2,5,3
4星彩,113000136,2024/06/06,5371500,214860,4175500,6,3,7,7
4星彩,113000137,2024/06/07,5720225,228809,4670000,3,7,5,0
4星彩,113000138,2024/06/08,6118475,244739,6046000,2,3,5,8
4星彩,113000139,2024/06/10,4854350,194174,1692000,0,6,9,3
4星彩,113000140,2024/06/11,4240750,169630,2570500,8,0,1,9
4星彩,113000141,2024/06/12,4273100,170924,3390000,8,2,6,0
4星彩,113000142,2024/06/13,4227725,169109,1191500,7,4,6,0
4星彩,113000143,2024/06/14,4247725,169909,2371000,5,7,5,3
4星彩,113000144,2024/06/15,4366475,174659,2870500,2,3,6,5
4星彩,113000145,2024/06/17,4578700,183148,2846000,7,2,2,1
4星彩,113000146,2024/06/18,4011825,160473,2282000,4,0,5,8
4星彩,113000147,2024/06/19,4121325,164853,2350500,9,2,3,4
4星彩,113000148,2024/06/20,4121200,164848,4027000,0,4,2,8
4星彩,113000149,2024/06/21,4207850,168314,1534500,9,8,4,8
4星彩,113000150,2024/06/22,4099300,163972,2871000,3,9,6,6
4星彩,113000151,2024/06/24,4359125,174365,2002500,5,8,6,3
4星彩,113000152,2024/06/25,3975350,159014,742000,1,9,4,6
4星彩,113000153,2024/06/26,4036525,161461,2699500,8,6,1,9
4星彩,113000154,2024/06/27,4087600,163504,4319500,6,0,2,5
4星彩,113000155,2024/06/28,4138200,165528,6066000,1,0,2,6
4星彩,113000156,2024/06/29,4085750,163430,1899500,5,5,8,3
4星彩,113000157,2024/07/01,4314950,172598,3834000,4,4,4,8
4星彩,113000158,2024/07/02,4161075,166443,1658500,0,2,8,1
4星彩,113000159,2024/07/03,4023100,160924,2314000,9,9,2,6
