遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,113000111,2024/05/08,30214225,1208569,11893500,12,13,16,26,37
39樂合彩,113000112,2024/05/09,29452400,1178096,15286875,5,6,11,31,35
39樂合彩,113000113,2024/05/10,29005275,1160211,22131250,1,12,31,38,39
39樂合彩,113000114,2024/05/11,31585100,1263404,19024625,1,7,11,15,29
39樂合彩,113000115,2024/05/13,31244400,1249776,17115500,4,14,33,36,37
39樂合彩,113000116,2024/05/14,27592325,1103693,16668125,7,11,18,20,22
39樂合彩,113000117,2024/05/15,30410925,1216437,9315875,4,6,14,26,33
39樂合彩,113000118,2024/05/16,28761775,1150471,15138875,9,10,21,33,35
39樂合彩,113000119,2024/05/17,27707225,1108289,23264250,14,19,27,30,38
39樂合彩,113000120,2024/05/18,29723800,1188952,16283000,5,10,11,32,37
39樂合彩,113000121,2024/05/20,38654100,1546164,22493750,3,5,28,32,34
39樂合彩,113000122,2024/05/21,33740450,1349618,29610750,1,3,16,24,31
39樂合彩,113000123,2024/05/22,37936350,1517454,46799000,11,13,15,23,29
39樂合彩,113000124,2024/05/23,37880125,1515205,26147750,14,23,26,27,34
39樂合彩,113000125,2024/05/24,36457925,1458317,17093750,5,16,22,26,39
39樂合彩,113000126,2024/05/25,38385675,1535427,16963750,1,15,32,34,38
39樂合彩,113000127,2024/05/27,38480950,1539238,21575000,5,13,14,17,24
39樂合彩,113000128,2024/05/28,33526375,1341055,20234750,16,23,29,36,39
39樂合彩,113000129,2024/05/29,37536975,1501479,21732500,1,7,9,20,32
39樂合彩,113000130,2024/05/30,36974525,1478981,14949250,2,9,32,36,37
39樂合彩,113000131,2024/05/31,35942900,1437716,40399750,8,12,13,23,36
39樂合彩,113000132,2024/06/01,39720000,1588800,27948500,4,20,24,28,38
39樂合彩,113000133,2024/06/03,33258650,1330346,24116750,6,10,21,24,31
39樂合彩,113000134,2024/06/04,28835775,1153431,33002750,7,11,17,23,25
39樂合彩,113000135,2024/06/05,31842525,1273701,21364375,3,4,6,14,20
39樂合彩,113000136,2024/06/06,31471550,1258862,9640000,3,11,20,21,36
39樂合彩,113000137,2024/06/07,30440675,1217627,19324250,1,4,27,34,35
39樂合彩,113000138,2024/06/08,32793625,1311745,12546750,11,19,24,31,32
39樂合彩,113000139,2024/06/10,31947200,1277888,32148375,18,19,30,33,38
39樂合彩,113000140,2024/06/11,28250025,1130001,10158750,3,13,26,32,34
